AFUB_007790	CADAFUBG00000782
AFUB_015480	CADAFUBG00001553
AFUB_011340	CADAFUBG00001139
AFUB_013660	CADAFUBG00001371
AFUB_001610	CADAFUBG00000161
AFUB_068240	CADAFUBG00006772
AFUB_040320	CADAFUBG00004019
AFUB_003580	CADAFUBG00000358
AFUB_096810	CADAFUBG00009583
AFUB_093000	CADAFUBG00009203
AFUB_082670	CADAFUBG00008196
AFUB_005150	CADAFUBG00000517
AFUB_098280	CADAFUBG00009724
AFUB_074320	CADAFUBG00007372
AFUB_055510	CADAFUBG00005530
AFUB_091880	CADAFUBG00009101
AFUB_004420	CADAFUBG00000443
AFUB_016180	CADAFUBG00001623
AFUB_040550	CADAFUBG00004042
AFUB_083420	CADAFUBG00008271
AFUB_074870	CADAFUBG00007427
AFUB_022980	CADAFUBG00002292
AFUB_010140	CADAFUBG00001019
AFUB_024150	CADAFUBG00002409
AFUB_002150	CADAFUBG00000215
AFUB_048330	CADAFUBG00004823
AFUB_080590	CADAFUBG00007986
AFUB_054180	CADAFUBG00005398
AFUB_058190	CADAFUBG00005798
AFUB_050640	CADAFUBG00005044
AFUB_007640	CADAFUBG00000767
AFUB_026730	CADAFUBG00002667
AFUB_100750	CADAFUBG00009960
AFUB_074290	CADAFUBG00007369
AFUB_098620	CADAFUBG00009758
AFUB_039140	CADAFUBG00003901
AFUB_054260	CADAFUBG00005406
AFUB_015090	CADAFUBG00001514
AFUB_024060	CADAFUBG00002400
AFUB_071240	CADAFUBG00007072
AFUB_003380	CADAFUBG00000338
AFUB_068660	CADAFUBG00006814
AFUB_017400	CADAFUBG00001735
AFUB_005690	CADAFUBG00000571
AFUB_060990	CADAFUBG00006079
AFUB_085470	CADAFUBG00008478
AFUB_009330	CADAFUBG00000938
AFUB_003240	CADAFUBG00000324
AFUB_099230	CADAFUBG00009819
AFUB_101910	CADAFUBG00010078
AFUB_069920	CADAFUBG00006940
AFUB_063080	CADAFUBG00006256
AFUB_034460	CADAFUBG00003432
AFUB_062340	CADAFUBG00006211
AFUB_067420	CADAFUBG00006689
AFUB_077260	CADAFUBG00007666
AFUB_084930	CADAFUBG00008423
AFUB_099370	CADAFUBG00009833
AFUB_084750	CADAFUBG00008404
AFUB_069200	CADAFUBG00006868
AFUB_033560	CADAFUBG00003351
AFUB_052330	CADAFUBG00005213
AFUB_041950	CADAFUBG00004184
AFUB_098260	CADAFUBG00009722
AFUB_085740	CADAFUBG00008505
AFUB_101400	CADAFUBG00010025
AFUB_084570	CADAFUBG00008386
AFUB_083460	CADAFUBG00008275
AFUB_070690	CADAFUBG00007017
AFUB_020230	CADAFUBG00002017
AFUB_073570	CADAFUBG00007297
AFUB_022390	CADAFUBG00002233
AFUB_034020	CADAFUBG00003388
AFUB_091080	CADAFUBG00009021
AFUB_084790	CADAFUBG00008408
AFUB_057180	CADAFUBG00005697
AFUB_093870	CADAFUBG00009290
AFUB_042810	CADAFUBG00004270
AFUB_001850	CADAFUBG00000185
AFUB_084810	CADAFUBG00008411
